ecmdb_id,name,kegg_id,bigg_id,conc_mM,raw_conc,condition,ref
ECMDB22553,CL(18:1(9Z)/16:1(9Z)/18:1(9Z)/14:0),,,5.201e-05,0.05201± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22554,CL(18:1(9Z)/16:1(9Z)/19:0cycv8c/18:1(9Z)),,,6.0650000000000004e-05,0.06065± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22555,CL(18:1(9Z)/16:1(9Z)/19:0cycv8c/19:0cycv8c),,,6.487999999999999e-05,0.06488± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22558,CL(18:1(9Z)/16:1(9Z)/17:0cycw7c/18:1(9Z)),,,4.991e-05,0.04991± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22560,CL(18:1(9Z)/16:1(9Z)/17:0cycw7c/17:0cycw7c),,,4.241e-05,0.04241± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22562,CL(18:1(9Z)/16:1(9Z)/14:0/18:1(9Z)),,,5.201e-05,0.05201± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22565,CL(18:1(9Z)/16:1(9Z)/14:0/14:0),,,5.028e-05,0.05028± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22576,CL(18:1(9Z)/18:1(9Z)/18:1(9Z)/17:0cycw7c),,,6.0650000000000004e-05,0.06065± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22577,CL(18:1(9Z)/18:1(9Z)/18:1(9Z)/14:0),,,5.242e-05,0.05242± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22580,CL(18:1(9Z)/18:1(9Z)/19:0cycv8c/17:0cycw7c),,,6.487999999999999e-05,0.06488± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22581,CL(18:1(9Z)/18:1(9Z)/19:0cycv8c/14:0),,,4.083e-05,0.04083± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22582,CL(18:1(9Z)/18:1(9Z)/17:0cycw7c/18:1(9Z)),,,6.0650000000000004e-05,0.06065± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22583,CL(18:1(9Z)/18:1(9Z)/17:0cycw7c/19:0cycv8c),,,6.487999999999999e-05,0.06488± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22584,CL(18:1(9Z)/18:1(9Z)/17:0cycw7c/17:0cycw7c),,,4.9619999999999996e-05,0.04962± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22585,CL(18:1(9Z)/18:1(9Z)/17:0cycw7c/14:0),,,3.6429999999999995e-05,0.03643± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22586,CL(18:1(9Z)/18:1(9Z)/14:0/18:1(9Z)),,,5.242e-05,0.05242± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22587,CL(18:1(9Z)/18:1(9Z)/14:0/19:0cycv8c),,,4.083e-05,0.04083± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22588,CL(18:1(9Z)/18:1(9Z)/14:0/17:0cycw7c),,,3.6429999999999995e-05,0.03643± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22589,CL(18:1(9Z)/18:1(9Z)/14:0/14:0),,,4.261e-05,0.04261± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22600,CL(18:1(9Z)/19:0cycv8c/18:1(9Z)/17:0cycw7c),,,6.487999999999999e-05,0.06488± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22601,CL(18:1(9Z)/19:0cycv8c/18:1(9Z)/14:0),,,4.083e-05,0.04083± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22605,CL(18:1(9Z)/19:0cycv8c/19:0cycv8c/14:0),,,6.563e-05,0.06563± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22606,CL(18:1(9Z)/19:0cycv8c/17:0cycw7c/18:1(9Z)),,,6.487999999999999e-05,0.06488± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22608,CL(18:1(9Z)/19:0cycv8c/17:0cycw7c/17:0cycw7c),,,5.842e-05,0.05842± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22610,CL(18:1(9Z)/19:0cycv8c/14:0/18:1(9Z)),,,4.083e-05,0.04083± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22611,CL(18:1(9Z)/19:0cycv8c/14:0/19:0cycv8c),,,6.563e-05,0.06563± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22613,CL(18:1(9Z)/19:0cycv8c/14:0/14:0),,,3.637e-05,0.03637± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22624,CL(18:1(9Z)/17:0cycw7c/18:1(9Z)/17:0cycw7c),,,4.9619999999999996e-05,0.04962± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22625,CL(18:1(9Z)/17:0cycw7c/18:1(9Z)/14:0),,,3.6429999999999995e-05,0.03643± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22627,CL(18:1(9Z)/17:0cycw7c/19:0cycv8c/17:0cycw7c),,,5.842e-05,0.05842± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22629,CL(18:1(9Z)/17:0cycw7c/17:0cycw7c/18:1(9Z)),,,4.9619999999999996e-05,0.04962± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22630,CL(18:1(9Z)/17:0cycw7c/17:0cycw7c/19:0cycv8c),,,5.842e-05,0.05842± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22631,CL(18:1(9Z)/17:0cycw7c/17:0cycw7c/17:0cycw7c),,,4.948e-05,0.04948± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22632,CL(18:1(9Z)/17:0cycw7c/17:0cycw7c/14:0),,,3.986e-05,0.03986± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22633,CL(18:1(9Z)/17:0cycw7c/14:0/18:1(9Z)),,,3.6429999999999995e-05,0.03643± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22635,CL(18:1(9Z)/17:0cycw7c/14:0/17:0cycw7c),,,3.986e-05,0.03986± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22636,CL(18:1(9Z)/17:0cycw7c/14:0/14:0),,,3.562e-05,0.03562± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22648,CL(18:1(9Z)/14:0/18:1(9Z)/14:0),,,4.261e-05,0.04261± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22649,CL(18:1(9Z)/14:0/19:0cycv8c/19:0cycv8c),,,6.563e-05,0.06563± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22651,CL(18:1(9Z)/14:0/19:0cycv8c/14:0),,,3.637e-05,0.03637± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22653,CL(18:1(9Z)/14:0/17:0cycw7c/17:0cycw7c),,,3.986e-05,0.03986± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
ECMDB22654,CL(18:1(9Z)/14:0/17:0cycw7c/14:0),,,3.562e-05,0.03562± 0.0 uM,K12Luria-Bertani (LB) media,PMID:22956318
